From St,Install Yr,Street,To St,Update Yr,Miles
,,,,,"0,249621212"
,,Battery East Trail,,,"0,317045455"
,,Central Magazine Rd,,,"0,509469697"
,,Coastal Trail,,,"2,323106061"
,,Hwy 101,,,"0,103409091"
,,Mason St,,,"1,804924242"
,2003,Old Mason St,,,"0,346212121"
 ,0, , ,0,"18,642992424"
 ,0,5th Ave, ,0,"0,107196970"
 ,0,Central Magazine Rd, ,0,"0,071969697"
 ,0,Cesar Chavez St, ,0,"0,366098485"
 ,0,Greenough Ave, ,0,"0,176893939"
 ,0,Harrison Blvd, ,0,"0,220075758"
 ,0,Kobbe Ave, ,0,"0,053219697"
 ,0,Park Blvd, ,0,"0,263636364"
 ,0,Perimeter Path, ,0,"2,122727273"
 ,0,Ralston Ave, ,0,"0,195075758"
 ,0,San Jose Ave, ,0,"0,022348485"
 ,0,SFSU Path, ,0,"0,95"
 ,2002,Avenue Of The Palms, ,0,"0,842045455"
 ARGUELLO BLVD,0,West Pacific Ave,MOUNTAIN LAKE TRAIL,0,"1,471969697"
 MARIN ST,2011,Illinois St,TULARE ST,,"0,141666667"
 ROSELYN TER,2003,Golden Gate Ave,KITTREDGE TER,0,"0,098484848"
1ST ST,1996,Folsom St,ECKER ST,2020,"0,121212121"
1ST ST,2005,Howard St,FREMONT ST,2020,"0,068371212"
2ND AV,1997,Cabrillo St,3RD AV,0,"0,117424242"
2ND AV,1997,Lake St,3RD AV,0,"0,117045455"
2ND AVE,2021,Anza Street,ARGUELLO BLVD,,"0,123863636"
2ND ST,1997,Folsom St,HAWTHORNE ST,2021,"0,085606061"
2ND ST,2003,King St,MID-BLOCK CROSSING,0,"0,087121212"
2ND ST,2005,Howard St,MALDEN ALLEY,2020,"0,025"
2ND ST,2006,Market St,MONTGOMERY ST,0,"0,106439394"
2ND ST,2010,Townsend St,STANFORD ST,0,"0,082954545"
2ND ST,2019,Brannan St,STANFORD ST,,"0,082575758"
3RD AV,1997,Cabrillo St,4TH AV,0,"0,117803030"
3RD AV,1997,Lake St,4TH AV,0,"0,117803030"
3RD AV,2005,Hugo St,4TH AV,0,"0,117424242"
3RD AV,2005,Parnassus Ave,4TH AV,0,"0,122348485"
3RD AVE,2021,Anza Street,2ND AVE,,"0,117424242"
3RD ST,0,16th St,ILLINIOIS ST,0,"0,102651515"
3RD ST,1997,16th St,6TH ST,2021,"0,186363636"
